user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
washingtonpost,6665748878039842822,6868689059557018885,He did his best #SummerInternOlympics,1599241301,12,https://www.tiktok.com/@washingtonpost/video/6868689059557018885?lang=en,1245,7,19,16700
washingtonpost,6665748878039842822,6868670332056767749,"Great coaching, Sammy! #SummerInternOlympics #AnimalFriends",1599236942,23,https://www.tiktok.com/@washingtonpost/video/6868670332056767749?lang=en,1474,21,12,16500
washingtonpost,6665748878039842822,6868372583557926149,Hira = Hero #SummerInternOlympics,1599167616,20,https://www.tiktok.com/@washingtonpost/video/6868372583557926149?lang=en,2190,7,27,19500
washingtonpost,6665748878039842822,6868359339686628613,Fast and Furious 9 preview #SummerInternOlympics,1599164532,11,https://www.tiktok.com/@washingtonpost/video/6868359339686628613?lang=en,3132,11,25,34400
washingtonpost,6665748878039842822,6868312743217237254,Never seen anyone this fast #SummerInternOlympics,1599153682,16,https://www.tiktok.com/@washingtonpost/video/6868312743217237254?lang=en,1037,6,11,12900
washingtonpost,6665748878039842822,6867986902147173638,🚶🏽‍♀️________ #SummerInternOlympics,1599077831,10,https://www.tiktok.com/@washingtonpost/video/6867986902147173638?lang=en,1336,12,16,16600
washingtonpost,6665748878039842822,6867961383674252550,Jasmine could go pro #SummerInternOlympics,1599071885,20,https://www.tiktok.com/@washingtonpost/video/6867961383674252550?lang=en,5466,13,24,40800
washingtonpost,6665748878039842822,6867941539658616070,Comment with a medal for David Lee 🏅 #SummerInternOlympics,1599067265,14,https://www.tiktok.com/@washingtonpost/video/6867941539658616070?lang=en,9485,148,68,58300
washingtonpost,6665748878039842822,6867602491794558213,Incredible athlete. Never seen anything like it at this level #SummerInternOlympics,1598988318,26,https://www.tiktok.com/@washingtonpost/video/6867602491794558213?lang=en,6251,133,58,36100
washingtonpost,6665748878039842822,6867568514392198405,"A tribute to a man who embodied not just one, but many Black heroes #RIPChadwickBoseman",1598980406,28,https://www.tiktok.com/@washingtonpost/video/6867568514392198405?lang=en,2597,3,18,21500
washingtonpost,6665748878039842822,6867247176574192902,I want a new roommate.,1598905590,15,https://www.tiktok.com/@washingtonpost/video/6867247176574192902?lang=en,8317,98,66,49000
washingtonpost,6665748878039842822,6867169911051996421,We report the facts. #Bezos,1598887598,14,https://www.tiktok.com/@washingtonpost/video/6867169911051996421?lang=en,22700,318,341,126700
washingtonpost,6665748878039842822,6866144566727249157,"Job well done, Michael #SummerInternOlympics",1598648867,20,https://www.tiktok.com/@washingtonpost/video/6866144566727249157?lang=en,3446,7,36,24300
washingtonpost,6665748878039842822,6866058632484736262,Who needs the Summer Olympics when you have the #SummerInternOlympics,1598628859,19,https://www.tiktok.com/@washingtonpost/video/6866058632484736262?lang=en,1859,8,25,18300
washingtonpost,6665748878039842822,6865735675199655173,Walmart is reportedly partnering with Microsoft on a TikTok deal. #MicrosoftWalmart #AvengersAssemble,1598553662,10,https://www.tiktok.com/@washingtonpost/video/6865735675199655173?lang=en,17400,393,172,121600
washingtonpost,6665748878039842822,6865681819992444166,TikTok CEO Kevin Mayer resigned yesterday after just three months. #TikTokNews,1598541125,11,https://www.tiktok.com/@washingtonpost/video/6865681819992444166?lang=en,6557,61,58,52300
washingtonpost,6665748878039842822,6865373951946804485,Your profile is looking great 👍,1598469442,13,https://www.tiktok.com/@washingtonpost/video/6865373951946804485?lang=en,50500,5324,630,487100
washingtonpost,6665748878039842822,6865331668945882374,Help #DogPerson,1598459597,12,https://www.tiktok.com/@washingtonpost/video/6865331668945882374?lang=en,3947,168,54,30200
washingtonpost,6665748878039842822,6864981821910797573,"At the University of Alabama, over 560 students have tested positive for COVID-19.",1598378142,10,https://www.tiktok.com/@washingtonpost/video/6864981821910797573?lang=en,34100,1014,218,274200
washingtonpost,6665748878039842822,6864970427186384134,Millions of Americans risk not having their votes counted. #USPS,1598375489,22,https://www.tiktok.com/@washingtonpost/video/6864970427186384134?lang=en,4283,52,29,36200
washingtonpost,6665748878039842822,6864610266110299398,Need to practice more #socialization,1598291632,21,https://www.tiktok.com/@washingtonpost/video/6864610266110299398?lang=en,22600,2173,232,148600
washingtonpost,6665748878039842822,6864580678462295301,We’ll update you more as the story develops! #lawsuit #executiveorder,1598284744,10,https://www.tiktok.com/@washingtonpost/video/6864580678462295301?lang=en,455000,9731,2576,2400000
washingtonpost,6665748878039842822,6863501297954376965,Nailed it #glowup,1598033431,13,https://www.tiktok.com/@washingtonpost/video/6863501297954376965?lang=en,6898,61,69,60500
washingtonpost,6665748878039842822,6863470738981080325,Sorry you couldn’t join us in the newsroom (yet),1598026316,11,https://www.tiktok.com/@washingtonpost/video/6863470738981080325?lang=en,15500,55,56,93000
washingtonpost,6665748878039842822,6863154216463043845,🥗 🍦,1597952619,8,https://www.tiktok.com/@washingtonpost/video/6863154216463043845?lang=en,7327,109,83,70500
washingtonpost,6665748878039842822,6863122887121865989,Thought this might work #HeavenHelpline,1597945324,26,https://www.tiktok.com/@washingtonpost/video/6863122887121865989?lang=en,8534,227,112,53900
washingtonpost,6665748878039842822,6862786595599305989,What fun! #2020,1597867025,9,https://www.tiktok.com/@washingtonpost/video/6862786595599305989?lang=en,80900,6315,687,597600
washingtonpost,6665748878039842822,6862723825696558341,THE CALAMARI MAN COMETH #dnc,1597852412,16,https://www.tiktok.com/@washingtonpost/video/6862723825696558341?lang=en,4004,232,42,36300
washingtonpost,6665748878039842822,6862417929753939206,Reporter Toluse Olorunnipa explains what’s going on with the #USPS.,1597781188,49,https://www.tiktok.com/@washingtonpost/video/6862417929753939206?lang=en,9002,249,70,44500
washingtonpost,6665748878039842822,6862363488950504710,Watch later today for a better explanation of what’s going on from one of our reporters #USPS #PostOffice,1597768513,14,https://www.tiktok.com/@washingtonpost/video/6862363488950504710?lang=en,49700,1535,316,238200
washingtonpost,6665748878039842822,6861994644297780486,Decided to read way more haiku poems submitted by you all. Stay tuned! #haikumonth,1597682634,9,https://www.tiktok.com/@washingtonpost/video/6861994644297780486?lang=en,3344,19,334,36000
washingtonpost,6665748878039842822,6861976956083178757,Good day to you all!,1597678518,12,https://www.tiktok.com/@washingtonpost/video/6861976956083178757?lang=en,29300,670,221,298600
washingtonpost,6665748878039842822,6860887969985842437,"Still difficult to comprehend. Thanks for this haiku, Charlotte #haikuweek",1597424967,16,https://www.tiktok.com/@washingtonpost/video/6860887969985842437?lang=en,4439,27,52,33800
washingtonpost,6665748878039842822,6860849429914701061,"Every zoom call ever. Thanks for this one, Ian! #haikuweek",1597415995,9,https://www.tiktok.com/@washingtonpost/video/6860849429914701061?lang=en,10100,387,59,62000
washingtonpost,6665748878039842822,6860544174161267973,"Another outstanding haiku. Thank you, Neha #haikuweek",1597344921,10,https://www.tiktok.com/@washingtonpost/video/6860544174161267973?lang=en,2778,22,35,26900
washingtonpost,6665748878039842822,6860501244310605062,"Violets are a lie. Thank you for this, Allison. #haikuweek",1597334926,12,https://www.tiktok.com/@washingtonpost/video/6860501244310605062?lang=en,7374,49,75,46100
washingtonpost,6665748878039842822,6860133438444424453,Our fifth haiku for #haikuweek. Thanks Ava!,1597249289,8,https://www.tiktok.com/@washingtonpost/video/6860133438444424453?lang=en,8776,9,55,54200
washingtonpost,6665748878039842822,6859797412618243334,"Incredible haiku, Ellie. Thanks for sending it in for #haikuweek",1597171052,20,https://www.tiktok.com/@washingtonpost/video/6859797412618243334?lang=en,5198,30,53,28800
washingtonpost,6665748878039842822,6859794965694795013,"#HaikuWeek continues! Well written, Andrew. Very realistic.",1597170481,10,https://www.tiktok.com/@washingtonpost/video/6859794965694795013?lang=en,5754,69,38,37700
washingtonpost,6665748878039842822,6859433845356383494,It’s #HaikuWeek! This haiku was submitted by Finn Beaver. No people were harmed in the making of this TikTok.,1597086402,15,https://www.tiktok.com/@washingtonpost/video/6859433845356383494?lang=en,6948,88,79,35100
washingtonpost,6665748878039842822,6859431080357940485,"It’s #HaikuWeek! I’m reading my ten favorite haiku poems. We’ve received almost 4000 (so far). Here’s the first one, by Sarah Gorman.",1597085758,7,https://www.tiktok.com/@washingtonpost/video/6859431080357940485?lang=en,7050,51,56,41400
washingtonpost,6665748878039842822,6858311355259309317,Taking a much-needed vacation next week but will post TikToks reading your haikus. #HaikuTikTok,1596825053,15,https://www.tiktok.com/@washingtonpost/video/6858311355259309317?lang=en,21900,565,371,115100
washingtonpost,6665748878039842822,6858279939779628293,That’s what sisters are for I guess #ExecutiveOrder,1596817739,16,https://www.tiktok.com/@washingtonpost/video/6858279939779628293?lang=en,9019,58,94,44600
washingtonpost,6665748878039842822,6857961215008787718,Everyone has a favorite,1596743529,8,https://www.tiktok.com/@washingtonpost/video/6857961215008787718?lang=en,4346,142,87,38700
washingtonpost,6665748878039842822,6857896118257192197,Big if true. #taylorswift,1596728385,17,https://www.tiktok.com/@washingtonpost/video/6857896118257192197?lang=en,7698,294,72,43200
washingtonpost,6665748878039842822,6857547478661729541,He’s different okay,1596647198,17,https://www.tiktok.com/@washingtonpost/video/6857547478661729541?lang=en,10200,470,175,65100
washingtonpost,6665748878039842822,6857525500852587782,Allan Lichtman has correctly predicted eight of the last nine elections. He predicted a Biden victory in the New York Times today #2020election,1596642083,10,https://www.tiktok.com/@washingtonpost/video/6857525500852587782?lang=en,52200,2926,976,372200
washingtonpost,6665748878039842822,6857237083401014534,Jacqueline’s ‘Power Up’ newsletter got a makeover 🌈,1596574929,15,https://www.tiktok.com/@washingtonpost/video/6857237083401014534?lang=en,1532,4,10,23900
washingtonpost,6665748878039842822,6857148035332312325,Ready for the Olympics #balance #athlete #chocolatemilk,1596554197,9,https://www.tiktok.com/@washingtonpost/video/6857148035332312325?lang=en,2714,21,38,28800
washingtonpost,6665748878039842822,6856864960081906950,Allison Michaels hosts the “Can He Do That?” podcast.,1596488288,31,https://www.tiktok.com/@washingtonpost/video/6856864960081906950?lang=en,13300,82,89,62500
washingtonpost,6665748878039842822,6856814762001452293,May have jumped the gun #TikTokBan,1596476600,16,https://www.tiktok.com/@washingtonpost/video/6856814762001452293?lang=en,11600,68,85,60300
washingtonpost,6665748878039842822,6855775030803008774,Reply to @mak_________ how’s that,1596234516,10,https://www.tiktok.com/@washingtonpost/video/6855775030803008774?lang=en,4798,12,103,37100
washingtonpost,6665748878039842822,6855730789535993094,Just google Bill Gates chair jump #microsoft #buytiktok,1596224214,10,https://www.tiktok.com/@washingtonpost/video/6855730789535993094?lang=en,12100,119,178,92300
washingtonpost,6665748878039842822,6855677440899960070,Wal-Mart and Winn-Dixie chains are now requiring masks in grocery stores #WearAMask,1596211793,13,https://www.tiktok.com/@washingtonpost/video/6855677440899960070?lang=en,11600,103,71,62800
washingtonpost,6665748878039842822,6855350682401180933,"A quick report from our economics correspondent, Heather Long 💃",1596135714,19,https://www.tiktok.com/@washingtonpost/video/6855350682401180933?lang=en,7445,134,65,41100
washingtonpost,6665748878039842822,6855305497138990342,"Put me in, coach #WholeNewGame",1596125194,24,https://www.tiktok.com/@washingtonpost/video/6855305497138990342?lang=en,1984,16,37,17500
washingtonpost,6665748878039842822,6854986997472218373,"The CEO’s of Facebook, Google, Apple and Amazon are testifying before the House Judiciary Committee today. #lipsync",1596051037,12,https://www.tiktok.com/@washingtonpost/video/6854986997472218373?lang=en,6690,27,44,44400
